Customer ID,network_age,Customer tenure in month,Total Spend in Months 1 and 2,Total SMS Spend,Total Data Spend,Total Data Consumption,Total Unique Calls,Total Onnet spend,Total Offnet spend,Total Call centre complaint calls,Churn Status,Most Loved Competitor network in Month 1_0,Most Loved Competitor network in Month 1_Mango,Most Loved Competitor network in Month 1_PQza,Most Loved Competitor network in Month 1_ToCall,Most Loved Competitor network in Month 1_Uxaa,Most Loved Competitor network in Month 1_Weematel,Most Loved Competitor network in Month 1_Zintel,Most Loved Competitor network in Month 2_Mango,Most Loved Competitor network in Month 2_PQza,Most Loved Competitor network in Month 2_ToCall,Most Loved Competitor network in Month 2_Uxaa,Most Loved Competitor network in Month 2_Weematel,Most Loved Competitor network in Month 2_Zintel
ADF1330,888,29.6,878.65,8.76,47.5,115805.208,237,16570,19751,1,,0,0,0,0,0,1,0,0,0,0,1,0,0
ADF1331,120,4.0,878.72,294.0,6.25,696816.2705,77,2208,419,3,,0,1,0,0,0,0,0,0,0,0,1,0,0
ADF1345,3809,126.97,898.49,15.75,0.0,464885.6963,308,762,6850,2,,0,0,1,0,0,0,0,0,0,0,1,0,0
ADF1349,108,3.6,904.322,155.66,80.0,799300.8506,84,27197,1790,1,,0,0,0,0,1,0,0,0,0,0,1,0,0
ADF1363,795,26.5,920.142,0.0,0.0,47665.3779,1582,0,2441,2,,0,1,0,0,0,0,0,0,0,0,1,0,0
ADF1372,3437,114.57,929.8244,11.87,16.25,717.7168,477,11268,25698,2,,0,0,1,0,0,0,0,0,0,0,1,0,0
ADF1403,127,4.23,989.51,0.0,0.0,98.3516,183,66456,11772,1,,0,0,0,1,0,0,0,0,0,0,1,0,0
ADF1404,3098,103.27,989.52,1.2,12.5,1290513.913,557,0,901,2,,0,0,0,0,0,1,0,0,0,0,1,0,0
ADF1410,2615,87.17,998.09,11.96,2.5,1581541.407,554,0,1251,1,,0,0,0,0,1,0,0,0,0,0,1,0,0
ADF1425,3817,127.23,1042.04,10.5,76.25,326820.4102,393,16236,29519,1,,0,0,1,0,0,0,0,0,0,0,1,0,0
ADF1429,3382,112.73,1046.328,6.71,0.0,312453.664,364,6387,1899,2,,0,0,1,0,0,0,0,0,0,0,1,0,0
ADF1431,1102,36.73,1049.1904,28.71,3.75,905747.2099,781,0,358,2,,0,0,0,0,0,1,0,0,0,0,1,0,0
ADF1433,1500,50.0,1053.0588,59.47,3.75,17.998,122,33867,21572,1,,0,1,0,0,0,0,0,0,0,0,1,0,0
ADF1438,151,5.03,1060.24,53.7,0.0,800027.0616,593,6804,5568,1,,0,0,1,0,0,0,0,0,0,0,1,0,0
ADF1439,1492,49.73,1061.848,14.64,0.0,77210.292,430,6642,713,2,,0,0,1,0,0,0,0,0,0,0,1,0,0
ADF1445,1053,35.1,1078.9224,2.39,0.0,8.873,1174,2274,648,1,,0,0,0,0,1,0,0,0,0,0,1,0,0
ADF1450,2872,95.73,1083.5468,0.87,0.0,92037.4433,772,5315,7421,2,,0,0,0,0,0,1,0,0,0,0,1,0,0
ADF1452,2829,94.3,1091.89,1.23,28.75,1875860.98,507,0,895,1,,0,0,0,0,1,0,0,0,0,0,1,0,0
ADF1453,2312,77.07,1093.922,14.6,70.0,459247.2343,63,4651,3848,1,,0,0,0,0,0,0,1,0,0,0,1,0,0
ADF1456,3686,122.87,1102.0668,20.02,37.5,382804.5332,99,16672,21512,1,,0,0,1,0,0,0,0,0,0,0,1,0,0
ADF1462,120,4.0,1113.8684,4.14,1.25,0.1211,111,102948,2192,2,,0,0,0,1,0,0,0,0,0,0,1,0,0
ADF1465,3298,109.93,1125.91,166.88,13.75,39512.8291,255,24180,16174,2,,0,0,0,0,0,0,1,0,0,0,1,0,0
ADF1477,1237,41.23,1148.69,5.98,0.0,1970897.523,1021,6692,9321,4,,0,0,0,1,0,0,0,0,0,0,1,0,0
ADF1481,1705,56.83,1160.7688,5.25,0.0,348.5996,823,0,8494,1,,0,0,0,0,0,1,0,0,0,0,1,0,0
ADF1489,859,28.63,1175.9616,4.37,0.0,30024.7451,398,50899,8694,1,,0,0,0,0,0,0,1,0,0,0,1,0,0
ADF1502,981,32.7,1208.6004,1.75,2.5,31.3535,883,18345,7434,2,,0,0,0,0,1,0,0,0,0,0,1,0,0
ADF1503,5349,178.3,1213.5504,9.48,0.0,151202.7188,379,3227,23159,1,,0,0,0,0,1,0,0,0,0,0,1,0,0
ADF1521,1487,49.57,1254.8604,90.32,0.0,4491.7324,921,1497,14184,4,,0,0,1,0,0,0,0,0,0,0,1,0,0
