TOK_FUNCTION	104 function
TOK_INT	101 int
TOK_IDENTIFICADOR	300 retorna
TOK_PARENTESISIZQUIERDO	202 (
TOK_INT	101 int
TOK_IDENTIFICADOR	300 x
TOK_PARENTESISDERECHO	203 )
TOK_LLAVEIZQUIERDA	206 {
TOK_RETURN	110 return
TOK_IDENTIFICADOR	300 x
TOK_ASTERISCO	212 *
TOK_CONSTANTE_ENTERA	400 2
TOK_PUNTOYCOMA	200 ;
TOK_LLAVEDERECHA	207 }
TOK_MAIN	100 main
TOK_LLAVEIZQUIERDA	206 {
TOK_INT	101 int
TOK_IDENTIFICADOR	300 x
TOK_COMA	201 ,
TOK_IDENTIFICADOR	300 y
TOK_PUNTOYCOMA	200 ;
TOK_INT	101 int
TOK_IDENTIFICADOR	300 i
TOK_COMA	201 ,
TOK_IDENTIFICADOR	300 total
TOK_PUNTOYCOMA	200 ;
TOK_SCANF	108 scanf
TOK_IDENTIFICADOR	300 x
TOK_PUNTOYCOMA	200 ;
TOK_IDENTIFICADOR	300 y
TOK_ASIGNACION	208 =
TOK_IDENTIFICADOR	300 retorna
TOK_PARENTESISIZQUIERDO	202 (
TOK_IDENTIFICADOR	300 x
TOK_PARENTESISDERECHO	203 )
TOK_PUNTOYCOMA	200 ;
TOK_IDENTIFICADOR	300 i
TOK_ASIGNACION	208 =
TOK_CONSTANTE_ENTERA	400 1
TOK_PUNTOYCOMA	200 ;
TOK_IDENTIFICADOR	300 total
TOK_ASIGNACION	208 =
TOK_CONSTANTE_ENTERA	400 1
TOK_PUNTOYCOMA	200 ;
TOK_WHILE	107 while
TOK_PARENTESISIZQUIERDO	202 (
TOK_IDENTIFICADOR	300 i
TOK_MENORIGUAL	218 <=
TOK_IDENTIFICADOR	300 y
TOK_PARENTESISDERECHO	203 )
TOK_LLAVEIZQUIERDA	206 {
TOK_IDENTIFICADOR	300 total
TOK_ASIGNACION	208 =
TOK_IDENTIFICADOR	300 total
TOK_ASTERISCO	212 *
TOK_IDENTIFICADOR	300 x
TOK_PUNTOYCOMA	200 ;
TOK_IDENTIFICADOR	300 i
TOK_ASIGNACION	208 =
TOK_IDENTIFICADOR	300 i
TOK_MAS	209 +
TOK_CONSTANTE_ENTERA	400 1
TOK_PUNTOYCOMA	200 ;
TOK_LLAVEDERECHA	207 }
TOK_PRINTF	109 printf
TOK_IDENTIFICADOR	300 total
TOK_PUNTOYCOMA	200 ;
TOK_LLAVEDERECHA	207 }
