Pclass,Sex,Age,Class
2,male,3,1
2,male,6,1
3,female,4,0
3,female,0,0
1,male,9,1
2,male,6,0
3,male,3,0
3,male,5,0
3,female,5,1
3,female,2,1
1,female,5,1
2,female,7,1
3,male,0,1
3,male,4,0
3,male,5,0
2,female,9,1
2,female,4,1
1,female,3,1
2,male,9,0
3,female,8,1
3,male,3,0
3,female,6,0
2,male,5,0
2,female,6,1
1,female,4,1
1,female,6,1
1,female,9,1
3,female,6,0
1,male,7,0
1,male,9,0
3,female,1,0
3,female,0,1
3,male,6,0
3,male,0,0
2,male,7,0
3,male,3,0
3,male,8,0
2,female,0,1
2,male,4,0
1,male,15,1
3,male,2,0
3,female,5,1
3,male,3,0
2,male,8,0
2,female,6,1
3,female,5,0
1,male,5,0
3,male,7,0
3,female,4,1
3,male,5,0
1,male,10,0
3,male,5,0
2,male,11,0
1,female,3,1
3,female,4,1
2,male,4,0
2,female,5,1
1,male,5,1
3,male,1,0
3,male,4,0
2,female,4,1
3,male,5,0
2,male,10,0
3,male,7,0
2,male,6,0
3,male,9,0
1,female,7,1
3,male,7,0
1,male,10,0
3,male,4,0
1,female,6,1
3,male,4,0
1,female,4,1
2,male,3,0
3,female,1,1
2,female,4,1
3,male,5,0
3,male,6,0
1,female,6,1
3,male,3,0
3,male,8,0
2,male,5,0
3,male,7,0
3,female,1,0
3,male,3,0
3,male,3,0
2,female,4,0
1,female,5,1
1,male,14,0
3,male,6,0
3,male,2,0
3,male,6,0
2,female,5,1
3,male,3,0
1,male,8,1
3,female,8,0
3,male,7,1
1,male,5,1
1,female,7,1
1,female,4,1
3,male,7,0
1,male,4,0
2,female,4,1
2,male,5,0
3,male,8,0
1,female,6,1
2,male,4,0
3,male,4,0
1,male,4,1
2,female,2,1
2,male,6,0
1,female,8,1
3,male,4,1
3,male,8,0
1,female,6,1
3,male,6,0
3,male,4,1
2,female,5,0
2,male,6,0
3,male,4,0
3,male,3,0
1,male,3,0
1,female,7,1
3,female,0,0
1,male,7,1
3,male,6,1
3,female,4,0
1,male,7,1
3,male,4,0
2,male,5,1
2,male,4,0
2,male,4,0
3,male,4,0
3,female,3,1
2,male,6,0
1,male,7,0
3,female,5,0
1,male,11,0
3,female,0,1
3,male,2,0
2,female,4,1
2,female,4,1
1,female,3,1
2,female,8,1
3,female,8,0
3,female,5,0
1,male,10,0
1,female,10,1
2,female,4,1
1,male,10,1
3,male,2,0
1,male,6,0
2,female,2,1
3,male,10,0
3,female,8,1
1,female,10,1
1,female,9,1
3,female,2,1
2,female,5,1
3,male,5,1
3,male,8,0
3,male,5,0
1,male,9,0
3,male,6,0
2,male,5,0
3,female,7,0
3,female,3,0
1,female,12,1
3,female,2,1
1,female,3,1
2,female,5,1
2,male,7,0
1,female,7,1
2,female,2,1
3,male,3,0
3,male,6,0
2,male,5,1
2,male,4,0
3,male,4,0
2,male,11,0
1,male,6,0
3,male,6,0
1,male,11,0
3,male,5,1
3,male,4,0
2,female,0,1
3,female,3,1
2,female,3,1
1,female,4,0
1,male,7,1
1,male,8,0
1,female,4,1
3,male,8,0
2,female,5,0
3,male,7,0
3,male,3,0
1,female,7,1
2,female,1,1
1,female,15,1
3,male,6,0
1,male,11,1
3,male,6,0
1,male,0,1
3,male,6,0
3,male,4,1
2,male,10,0
2,male,5,0
3,male,5,0
2,female,6,1
1,male,8,1
3,female,0,1
3,male,4,0
3,female,2,0
1,female,4,1
3,female,9,1
3,male,0,1
1,female,6,1
2,female,7,1
3,female,7,0
3,male,2,0
2,male,0,1
2,female,5,1
1,male,7,0
2,female,5,1
1,male,8,0
2,female,3,1
3,male,8,0
3,male,4,0
1,female,11,1
1,male,8,0
3,female,4,1
1,female,6,1
2,male,5,0
2,male,5,0
2,female,3,1
3,female,3,1
2,male,5,0
3,male,0,0
3,male,7,0
3,male,4,0
3,male,3,0
3,female,8,0
1,female,2,1
3,male,4,0
3,male,4,0
3,male,6,0
1,male,11,0
2,male,4,0
3,female,5,0
2,male,12,0
2,male,7,0
1,female,8,1
3,male,12,0
3,female,8,0
1,female,7,1
3,male,3,0
3,female,5,1
2,male,5,0
1,male,9,1
2,female,6,1
3,male,4,0
1,male,12,0
2,female,0,1
3,male,3,0
3,male,4,0
3,male,5,0
1,male,9,0
3,female,4,1
3,female,3,0
3,male,5,0
1,female,10,1
3,male,4,0
3,male,5,0
2,male,13,0
1,male,12,0
1,female,12,1
3,male,4,0
3,female,5,1
2,male,5,0
3,male,0,1
3,male,5,1
2,female,5,0
1,male,12,0
3,male,3,0
3,male,4,0
3,male,4,0
3,female,7,1
2,male,6,0
3,male,3,0
3,male,6,0
3,female,4,0
2,male,8,0
1,female,7,1
2,male,9,0
1,male,8,1
3,male,9,0
3,male,4,0
1,male,4,1
3,male,4,0
3,male,7,0
3,male,6,0
2,female,3,1
3,male,1,1
3,male,0,0
3,male,8,0
2,male,4,0
1,male,9,0
1,female,10,1
1,male,9,0
3,male,4,0
3,male,4,0
3,male,9,0
2,female,5,1
2,male,5,0
3,male,4,0
1,male,4,0
1,male,7,0
2,female,0,1
2,male,5,0
3,male,5,0
1,male,10,1
3,male,14,0
3,male,12,0
3,male,4,0
3,male,5,0
3,male,7,0
3,male,0,0
1,male,8,0
1,female,4,1
3,male,5,0
2,female,4,1
1,female,5,1
1,female,4,1
3,female,4,1
2,female,11,0
3,male,3,0
3,female,3,0
3,male,4,1
3,male,1,0
2,male,5,0
1,male,5,0
3,female,7,1
3,male,8,0
1,male,0,1
2,male,4,0
2,male,0,1
3,male,3,0
2,female,1,1
2,male,6,0
3,male,4,0
3,male,12,0
1,female,4,1
1,female,9,1
2,male,5,0
3,male,5,0
1,male,5,1
1,male,5,0
1,male,9,1
2,male,4,0
3,male,7,0
3,male,4,0
3,male,5,0
1,male,8,0
3,female,3,0
2,male,4,0
3,male,3,1
3,male,7,0
3,male,4,1
3,female,3,0
2,male,8,0
2,male,8,0
1,male,7,0
1,male,3,0
1,male,5,0
3,male,6,0
1,male,9,1
2,male,9,0
1,male,7,0
3,male,3,0
3,female,2,1
3,male,5,0
2,female,5,1
2,male,7,0
3,male,5,1
3,male,5,0
2,male,8,0
3,male,5,0
1,male,5,0
1,male,4,1
1,male,10,0
2,male,3,0
3,female,1,0
3,male,4,0
3,male,4,0
1,female,8,1
3,female,0,0
3,male,6,1
2,male,3,0
3,female,5,0
2,male,9,0
2,female,8,0
1,female,8,1
2,male,9,0
1,male,10,1
2,male,4,0
3,male,5,0
3,female,7,0
3,male,3,0
2,male,6,0
3,male,5,0
3,female,1,0
3,female,5,0
3,female,1,0
2,male,7,0
1,male,13,0
3,male,5,0
3,male,6,1
3,male,4,0
1,male,9,0
3,male,3,0
1,male,9,0
1,male,11,1
1,female,5,1
3,male,6,0
1,female,4,1
1,female,2,1
1,female,6,1
2,male,13,0
3,female,0,1
3,female,5,0
1,male,5,0
3,female,0,0
3,female,4,1
2,male,4,0
3,male,2,1
1,male,4,1
1,male,12,0
3,male,4,0
1,male,7,0
3,female,6,1
2,female,3,1
3,male,6,0
2,male,5,0
1,male,7,0
2,male,9,0
3,male,5,0
2,male,7,0
1,male,2,1
2,female,6,1
3,female,7,0
3,female,3,0
2,female,4,1
3,male,5,0
2,male,6,0
1,female,3,1
2,male,4,0
1,female,6,1
3,male,6,0
2,male,5,0
2,female,6,1
2,female,4,1
3,male,4,0
3,female,2,0
2,female,2,1
3,male,3,1
1,male,8,1
3,male,5,0
1,female,3,1
3,male,3,0
3,female,5,1
3,male,4,0
3,male,6,0
3,female,4,0
3,male,5,0
3,male,6,0
1,male,9,0
1,male,9,0
2,female,3,0
3,male,4,0
3,female,6,1
3,male,2,1
3,male,3,0
3,female,4,0
3,male,3,0
2,male,4,0
3,male,6,0
3,male,6,1
3,female,5,0
1,male,5,0
1,female,11,1
3,female,1,0
3,male,5,0
2,male,0,1
1,male,8,0
3,male,5,0
3,male,3,0
2,male,0,1
3,male,8,0
1,male,11,0
2,male,6,0
2,male,4,0
2,female,6,1
2,male,4,0
2,female,0,1
2,male,4,0
2,male,6,0
2,female,1,1
3,female,3,0
2,male,5,0
3,female,3,1
3,male,7,0
3,male,3,0
1,female,6,1
1,female,7,1
2,male,4,0
3,female,4,0
1,female,12,1
3,male,3,0
3,male,1,1
3,male,9,0
2,male,10,0
3,female,0,1
1,male,5,1
3,male,4,0
3,male,4,1
3,male,4,0
3,female,7,0
1,male,5,0
1,female,6,1
2,male,4,0
2,male,10,0
3,male,4,0
2,male,5,1
3,female,4,0
2,male,6,0
2,female,3,1
3,male,2,0
3,male,5,0
1,female,3,1
3,female,3,0
1,female,7,1
2,female,0,1
3,male,6,0
3,female,5,1
1,male,10,0
2,male,4,0
2,female,4,1
1,male,6,1
2,male,4,0
2,female,6,1
2,male,3,0
2,male,5,0
1,male,11,0
1,male,6,1
3,female,4,0
3,female,8,0
1,male,2,1
3,female,5,0
2,female,4,0
3,male,4,1
2,female,10,1
3,male,4,0
3,female,3,1
1,male,14,0
3,male,3,0
2,female,8,1
2,female,3,1
3,male,0,0
3,male,4,1
3,female,3,1
1,male,4,1
2,male,4,0
2,female,4,1
1,male,9,1
1,male,12,0
3,female,4,1
1,male,9,0
3,male,7,0
1,male,5,0
3,male,4,1
3,male,8,1
2,female,5,1
3,male,6,0
1,male,4,0
1,male,6,1
1,female,12,1
3,male,5,0
3,male,5,0
3,male,10,0
2,female,9,1
3,male,4,0
3,female,6,0
3,female,3,0
1,female,5,1
3,male,6,0
2,male,2,0
3,female,0,1
3,male,1,0
1,female,9,0
1,female,4,1
2,male,4,0
1,male,9,0
2,male,5,0
3,male,4,0
3,male,8,0
3,male,5,1
1,female,8,1
2,female,7,1
3,male,7,0
3,male,3,0
3,male,4,0
1,female,4,1
3,male,3,0
2,male,6,0
1,male,6,0
3,female,5,0
3,male,1,1
3,male,4,0
3,male,5,1
3,female,2,1
2,female,4,1
2,male,7,0
3,male,1,0
1,male,9,1
3,male,4,1
3,male,1,1
3,female,6,1
3,female,3,0
2,male,10,0
2,male,3,1
3,female,3,1
1,female,6,1
3,male,3,0
1,male,8,0
1,female,0,0
1,male,9,0
3,male,4,0
3,male,9,0
1,male,12,0
3,male,2,0
1,female,10,1
2,female,8,1
1,female,7,1
3,male,3,0
3,male,4,1
2,female,0,1
2,male,6,0
1,male,10,1
1,female,12,0
1,female,10,1
1,female,6,1
1,female,4,1
3,female,0,0
3,female,3,0
3,male,0,0
2,male,8,1
3,female,4,1
1,male,9,0
3,male,5,1
3,female,4,1
3,female,0,1
3,female,0,1
1,male,7,1
2,male,3,0
3,female,5,0
2,female,6,1
3,male,4,0
3,female,0,0
3,male,5,0
1,female,3,1
2,male,3,0
3,male,4,0
3,male,6,0
3,male,1,0
1,female,7,1
2,male,4,0
2,male,3,0
3,male,0,0
3,male,4,0
2,female,5,1
1,female,4,1
1,male,9,0
3,female,4,1
3,male,6,0
1,female,4,1
2,female,9,1
3,male,5,0
3,male,4,0
1,male,5,1
3,male,5,0
1,male,4,0
3,male,3,0
1,female,10,1
3,male,1,1
3,male,11,0
2,female,5,1
3,male,3,0
1,male,7,1
1,male,12,0
2,male,4,1
3,male,4,0
3,male,6,0
3,male,5,0
3,female,2,0
3,male,6,0
3,male,5,1
3,female,0,1
3,female,0,0
3,male,3,0
3,female,4,1
2,female,3,1
2,female,7,1
1,male,8,0
3,female,4,0
3,male,7,0
3,male,8,0
3,female,4,1
3,male,3,0
1,male,5,0
3,male,3,0
3,female,3,0
1,male,9,0
1,female,9,1
2,male,5,0
1,female,9,1
1,female,8,1
3,male,5,0
1,female,6,1
2,male,3,0
3,male,5,0
1,female,9,1
2,male,12,1
3,male,7,0
3,female,5,1
3,male,8,0
2,female,8,1
1,male,7,0
1,female,4,1
2,male,5,0
1,female,8,1
3,male,3,1
3,male,7,0
3,male,0,1
2,female,7,0
2,female,5,1
2,male,3,0
2,male,11,0
1,male,12,0
2,male,7,0
3,female,8,0
3,male,3,0
3,male,8,0
1,male,5,1
3,female,1,0
1,female,5,1
3,male,6,0
3,male,5,0
3,female,0,1
2,female,11,0
1,male,9,0
3,male,2,0
1,female,3,1
2,male,4,0
2,female,4,1
2,male,12,0
3,male,5,1
3,male,5,1
3,male,6,0
1,female,4,1
1,female,6,1
3,female,3,1
3,male,5,0
3,male,8,0
2,male,7,0
1,male,7,1
3,male,0,0
2,male,4,0
1,female,9,1
1,male,3,1
3,female,0,1
3,male,4,0
3,male,4,1
3,male,3,0
1,male,13,0
2,male,6,0
2,male,7,0
1,female,5,1
3,male,4,0
3,male,4,0
3,male,7,0
3,male,3,1
3,female,4,1
3,female,9,0
1,male,6,1
1,male,8,1
3,female,3,1
1,female,8,1
1,female,5,1
1,male,11,0
1,male,3,0
3,male,5,0
2,male,5,0
3,male,0,1
1,male,9,0
3,male,0,0
3,male,0,0
1,male,9,1
1,female,11,1
3,female,3,1
2,male,0,1
2,female,4,1
1,female,5,1
3,female,3,1
2,female,5,1
3,female,5,0
2,male,0,1
3,male,4,0
3,male,4,1
3,male,3,0
1,female,6,1
2,male,5,0
2,female,5,1
3,male,4,0
3,female,4,0
3,male,6,1
3,male,4,0
2,male,7,0
2,male,12,0
2,male,8,0
1,female,8,1
3,male,6,0
1,male,8,0
1,male,5,0
1,female,4,1
3,male,5,1
1,female,11,1
3,female,7,0
1,female,9,1
1,female,4,1
2,female,6,1
2,male,5,0
3,male,4,0
3,female,4,0
3,male,3,1
2,female,10,1
1,female,7,0
3,female,4,0
2,female,4,1
1,male,5,1
3,male,1,0
3,male,3,0
1,male,4,0
2,female,7,1
3,male,3,0
1,male,7,0
1,female,11,1
1,male,12,0
3,male,3,0
3,male,7,0
1,male,11,0
3,male,5,0
3,male,6,1
1,female,5,1
1,female,10,1
2,female,6,1
3,male,6,0
2,female,2,1
3,female,0,1
3,male,9,0
1,male,7,1
1,female,8,1
3,male,2,0
3,female,9,0
1,female,11,1
1,male,10,0
1,female,10,1
2,male,3,0
3,male,3,0
3,male,7,0
1,female,7,1
1,male,7,0
2,female,7,1
1,female,7,1
3,male,3,1
2,female,5,0
3,male,7,1
1,male,10,0
3,female,3,1
2,male,8,0
3,male,8,0
2,male,6,0
3,female,4,1
1,male,4,0
2,male,6,1
3,female,3,0
3,male,11,0
3,male,5,0
1,male,1,1
1,female,10,1
3,female,6,1
1,male,6,0
1,female,7,1
3,male,3,0
3,male,4,0
2,male,0,1
2,female,9,1
2,male,0,1
3,female,4,0
3,male,3,0
3,male,1,0
2,male,7,0
1,female,3,1
3,male,7,0
2,male,3,0
1,female,3,1
3,male,6,0
3,male,6,1
1,female,5,1
3,male,4,1
2,male,5,0
3,female,0,1
1,female,9,1
3,female,12,1
3,male,5,0
3,male,3,1
2,female,3,1
1,female,6,1
3,male,4,0
2,male,6,0
1,male,6,1
1,female,7,1
2,male,3,0
2,male,4,0
3,male,4,0
3,male,4,0
1,male,4,0
1,male,7,0
1,male,8,1
2,male,6,1
2,male,5,0
1,male,12,0
3,female,6,0
3,female,6,0
3,female,6,1
2,male,1,1
2,female,5,1
3,male,5,0
3,male,7,0
2,male,3,0
2,male,8,0
1,male,6,1
2,male,6,0
