x1	x2	x3	z1	z2	z3	y
0	0	0	0	0	0	0
0	0	1	0	0	0	0
0	1	0	0	0	0	0
0	1	1	0	0	0	0
1	0	0	0	1	0	0
1	0	1	0	0	0	1
1	1	0	0	0	1	0
1	1	1	1	0	0	1
0	0	0	1	1	1	1
0	0	0	0	0	0	1
x1	x2	x3	z1	z2	z3	y
0	0	0	0	0	0	0
0	0	1	0	0	0	0
0	1	0	0	0	0	0
0	1	1	0	0	0	0
1	0	0	0	1	0	0
1	0	1	0	0	0	1
1	1	0	0	0	1	0
1	1	1	1	0	0	1
0	0	0	1	1	1	1
0	0	0	0	0	0	1
x1	x2	x3	z1	z2	z3	y
0	0	0	0	0	0	0
0	0	1	0	0	0	0
0	1	0	0	0	0	0
0	1	1	0	0	0	0
1	0	0	0	1	0	0
1	0	1	0	0	0	1
1	1	0	0	0	1	0
1	1	1	1	0	0	1
0	0	0	1	1	1	1
0	0	0	0	0	0	1
x1	x2	x3	z1	z2	z3	y
0	0	0	0	0	0	0
0	0	1	0	0	0	0
0	1	0	0	0	0	0
0	1	1	0	0	0	0
1	0	0	0	1	0	0
1	0	1	0	0	0	1
1	1	0	0	0	1	0
1	1	1	1	0	0	1
0	0	0	1	1	1	1
0	0	0	0	0	0	1
<<<<<<< HEAD
=======
x1	x2	x3	z1	z2	z3	y
0	0	0	0	0	0	0
0	0	1	0	0	0	0
0	1	0	0	0	0	0
0	1	1	0	0	0	0
1	0	0	0	1	0	0
1	0	1	0	0	0	1
1	1	0	0	0	1	0
1	1	1	1	0	0	1
0	0	0	1	1	1	1
0	0	0	0	0	0	1
>>>>>>> 89769e4dc8b6ed729b0a5051e9eb6d30b16b31c8
